non moderated AmBe with Lead shielding (12*5mins measurement);;;moderated AmBe with Lead shielding (12*5mins measurement);;
Energy (keV);Intensity (non filter);Intensity (Gd filter);Energy (keV);Intensity (non filter);Intensity (Gd filter)
567;0;0;567;1.61209068;0
568;4.83627204;0;568;0;0
569;0;0;569;0;0
570;0;6.530612245;570;0;0
571;1.61209068;0;571;0;0
572;0;6.530612245;572;0;0
573;3.22418136;0;573;0;0
574;0;0;574;0;0
575;0;0;575;0;0
576;0;0;576;0;0
577;3.22418136;0;577;0;0
578;0;0;578;0;0
579;1.61209068;3.265306122;579;1.61209068;0
580;1.61209068;0;580;0;0
581;1.61209068;0;581;0;0
582;0;3.265306122;582;0;0
583;0;3.265306122;583;0;0
584;0;0;584;0;0
585;0;0;585;0;3.265306122
586;0;0;586;1.61209068;0
587;0;0;587;0;0
588;0;3.265306122;588;0;0
589;0;0;589;0;0
590;0;0;590;0;0
591;1.61209068;0;591;0;0
592;0;0;592;0;0
593;0;0;593;0;0
594;0;0;594;1.61209068;0
595;3.22418136;0;595;0;0
596;0;0;596;0;0
597;0;0;597;0;0
598;0;0;598;0;3.265306122
599;1.61209068;0;599;0;0
600;0;3.265306122;600;0;0
601;1.61209068;3.265306122;601;0;0
602;0;0;602;0;0
603;0;0;603;0;0
604;1.61209068;0;604;0;0
605;1.61209068;3.265306122;605;0;0
606;0;3.265306122;606;0;0
607;0;0;607;0;0
608;0;3.265306122;608;0;0
609;0;0;609;0;0
610;1.61209068;0;610;0;0
611;0;0;611;1.61209068;0
612;0;0;612;0;0
613;0;3.265306122;613;0;0
614;0;0;614;3.22418136;0
615;3.22418136;3.265306122;615;0;0
616;0;0;616;0;0
617;0;0;617;0;0
618;1.61209068;0;618;0;0
619;0;0;619;0;0
620;1.61209068;3.265306122;620;1.61209068;0
621;1.61209068;0;621;1.61209068;0
622;0;0;622;0;0
623;0;0;623;0;0
624;0;0;624;0;0
625;0;0;625;0;0
626;0;0;626;0;0
627;0;0;627;0;0
628;1.61209068;0;628;0;0
629;0;0;629;0;0
630;3.22418136;0;630;0;0
631;0;3.265306122;631;0;0
632;0;0;632;0;0
633;1.61209068;0;633;1.61209068;0
634;0;0;634;0;0
635;1.61209068;0;635;0;0
636;0;0;636;0;0
637;1.61209068;0;637;0;0
638;1.61209068;0;638;0;0
639;0;0;639;0;0
640;1.61209068;0;640;0;0
641;1.61209068;0;641;0;0
642;0;3.265306122;642;0;3.265306122
643;1.61209068;3.265306122;643;0;3.265306122
644;0;0;644;1.61209068;0
645;0;0;645;0;0
646;0;0;646;0;0
647;1.61209068;0;647;0;0
648;4.83627204;0;648;0;0
649;0;0;649;0;0
650;0;3.265306122;650;0;0
651;0;0;651;0;0
652;3.22418136;0;652;0;0
653;0;0;653;0;0
654;0;3.265306122;654;0;0
655;0;0;655;0;0
656;3.22418136;3.265306122;656;0;0
657;1.61209068;0;657;0;0
658;1.61209068;6.530612245;658;0;0
659;0;3.265306122;659;0;0
660;0;3.265306122;660;0;0
661;1.61209068;3.265306122;661;0;0
662;0;0;662;0;3.265306122
663;1.61209068;0;663;0;0
664;0;0;664;1.61209068;0
665;0;0;665;0;0
666;0;6.530612245;666;0;0
667;0;0;667;0;0
668;0;0;668;0;0
669;0;0;669;0;0
670;0;0;670;0;0
671;0;0;671;0;0
672;0;0;672;0;0
673;0;0;673;0;0
674;0;0;674;0;0
675;0;0;675;0;0
676;0;0;676;0;0
677;0;0;677;0;0
678;0;0;678;0;0
679;0;0;679;0;0
680;0;0;680;0;0
681;0;0;681;0;0
682;0;0;682;0;0
683;0;0;683;0;0
684;0;0;684;0;0
685;0;0;685;0;0
686;0;0;686;0;0
687;0;0;687;0;0
688;0;0;688;0;0
689;0;0;689;0;0
690;0;0;690;0;0
691;0;0;691;0;0
692;0;0;692;0;0
693;0;0;693;0;0
694;0;0;694;0;0
695;0;0;695;0;0
696;0;0;696;0;0
697;0;0;697;0;0
698;0;0;698;0;0
699;0;0;699;0;0
